scope,representation,n_cells,label_silhouette,sample_held_out_knn_accuracy,leiden_ARI,leiden_NMI,platform_silhouette
broad_all_cells,Scanpy_PCA,29614,0.10711430758237839,0.8318362936448976,0.23425160484994412,0.5029086786451744,0.10668913275003433
broad_all_cells,frozen_scGPT,29614,0.06428506225347519,0.9230093874518809,0.2342315518746797,0.5102188181135537,0.14677794277668
CD4+ T cells,Scanpy_PCA,4687,0.013487858697772026,0.44463409430339235,0.17598900380132732,0.27294021150374875,0.23752304911613464
CD4+ T cells,frozen_scGPT,4687,-0.03591090068221092,0.4762107958182206,0.18380715005485246,0.3134299130359958,0.36799076199531555
CD8+ T cells,Scanpy_PCA,4278,0.06658957898616791,0.6203833567087425,0.27484535255732667,0.37153247886864604,0.11666736006736755
CD8+ T cells,frozen_scGPT,4278,0.027160346508026123,0.5797101449275363,0.23312169299143265,0.35594364952489105,0.24109451472759247
