representation,silhouette_cosine,within_responder,within_nonresponder,between_groups,centroid_distance,exact_10sample_permutation_p,n_permutations
CD4_CD8_programs,0.25836873054504395,0.8977616429328918,0.9299181699752808,1.272769570350647,1.9556243,0.03333333333333333,120
CD4_CD8_mean,0.15683576464653015,0.08772081136703491,0.03176075592637062,0.05394376441836357,0.011456251,0.18333333333333332,120
CD4_CD8_cluster_aware,0.15180301666259766,0.08763299137353897,0.031995851546525955,0.05376221984624863,0.011195481,0.20833333333333334,120
whole_mean,0.033469490706920624,0.06704163551330566,0.03782913088798523,0.046608638018369675,0.008351386,0.35833333333333334,120
whole_cluster_aware,0.029399508610367775,0.06637433916330338,0.03783085569739342,0.04623044654726982,0.008187652,0.38333333333333336,120
composition_CLR,0.019894834607839584,0.4762219488620758,0.4249819815158844,0.4547213613986969,0.1722011,0.36666666666666664,120
