line,feature,responder_mean,nonresponder_mean,responder_minus_nonresponder
composition_CLR,Activated DCs,-1.610872783920492,-1.4217165888822385,-0.18915619503825343
composition_CLR,Active NK,0.5784505052615282,0.7206713655686859,-0.14222086030715775
composition_CLR,Alveolar Mac,-0.8459184349537804,0.19601696447274466,-1.041935399426525
composition_CLR,CD14+CD16- Monocytes,1.3061920515370196,1.6812305254977455,-0.375038473960726
composition_CLR,CD141+ DCs,-0.7890432626101926,-1.3572509084111246,0.568207645800932
composition_CLR,CD14loCD16+ Monocytes,-0.8564179906402373,-1.0590022877690486,0.20258429712881132
composition_CLR,CD1c+ DCs (LCs),-0.011852385987759876,-0.43652684416712034,0.42467445817936045
composition_CLR,CD4+ Cycling,-0.2298278751233148,-0.9875469698317723,0.7577190947084574
composition_CLR,CD4+ IFN response,-0.7519680509067843,-0.6745829831289166,-0.07738506777786769
composition_CLR,CD4+ MT high,0.6111524179820007,0.5214738279913188,0.0896785899906819
composition_CLR,CD4+ Ribosomal high,0.6427176045977475,1.0666755997017598,-0.42395799510401233
composition_CLR,CD4+ TEM,-0.694787243393742,-0.04565851555943861,-0.6491287278343034
composition_CLR,CD4+ TEMRA/TEFF,-0.8728147387038279,0.003575436701403462,-0.8763901754052313
composition_CLR,CD4+ TH1-like,-0.7442605784331665,-0.0747418234876844,-0.6695187549454821
composition_CLR,CD4+ TH17,-0.5122604952523823,0.5029107853841901,-1.0151712806365722
composition_CLR,CD4+ TN/TCM,1.364626241356697,1.569481332348125,-0.20485509099142796
composition_CLR,CD4+ TRM,0.45937872578157535,1.5617811829066766,-1.1024024571251012
composition_CLR,CD4+ Treg,0.34272262390146313,1.0692067863634402,-0.7264841624619771
composition_CLR,CD56bright NK,-1.1181721471294874,-0.29934060195764317,-0.8188315451718442
composition_CLR,CD8+ Cycling,-1.4510150904998635,-1.9491272978956293,0.4981122073957658
composition_CLR,CD8+ IFN response,0.3286980298562339,-0.7154847875199307,1.0441828173761647
composition_CLR,CD8+ MAIT,-1.1424252652236302,-1.3032196264820606,0.16079436125843038
composition_CLR,CD8+ MT high,1.0189277180368788,0.13625445450673915,0.8826732635301396
composition_CLR,CD8+ TEM,2.0633648323969767,1.46810420736623,0.5952606250307466
composition_CLR,CD8+ TEMRA/TEFF,1.1290614177545306,0.6011520001183988,0.5279094176361319
composition_CLR,CD8+ TEX,1.8675991704568222,0.22793763406044398,1.6396615363963782
composition_CLR,CD8+ TN/TCM,-0.10333133455501331,0.7210465098912998,-0.8243778444463131
composition_CLR,CD8+ TRM,0.44987515810130674,-0.5344653715785023,0.984340529679809
composition_CLR,CD8+ gdT,-1.5631725027069343,-1.7339067994282764,0.1707342967213421
composition_CLR,Follicular B cells,0.8896437171908566,2.3762256082312314,-1.486581891040375
composition_CLR,GC B cells,-2.0996518068516346,-1.8302169821569818,-0.26943482469465274
composition_CLR,Mature NK,0.349233247540545,-0.592825738542145,0.94205898608269
composition_CLR,Mo-Mac,2.3388431061915855,1.8295088231583867,0.5093342830331988
composition_CLR,Mo-Mac (CXCL10+),1.0379725162771216,0.4456710818710337,0.592301434406088
composition_CLR,Monocyte (Pro-inflammatory),-1.5631725027069345,-1.298975022610645,-0.2641974800962896
composition_CLR,Plasma/MALT B cells,-0.37805648221046323,0.3042110580441117,-0.6822675402545749
composition_CLR,Proliferating Mac,0.7706367489079896,0.1469152948640338,0.6237214540439558
composition_CLR,Transitional NK,-0.2100748613192073,-0.8354613296388477,0.6253864683196404
CD4_CD8_programs,Treg_suppression,0.12513744831085205,-0.05363038554787636,0.1787678338587284
CD4_CD8_programs,CD4_helper_memory,-1.010764479637146,0.43318477272987366,-1.4439492523670197
CD4_CD8_programs,TH17,-1.1909862756729126,0.5104228258132935,-1.701409101486206
CD4_CD8_programs,cytotoxicity,0.3656787872314453,-0.15671934187412262,0.5223981291055679
CD4_CD8_programs,exhaustion,0.69161456823349,-0.2964061200618744,0.9880206882953644
CD4_CD8_programs,IFN_response,-0.01346560288220644,0.0057710749097168446,-0.019236677791923285
CD4_CD8_programs,proliferation,0.8035561442375183,-0.34438103437423706,1.1479371786117554
